mode,agency,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
commuter_rail,LIRR,92831324,101593000,99139000,99776740,94844000,99175000,100092000,100317136,97839995,98081900,96730948,97090255,98393879,98699512,103196857,103630405,105538101,114241364,43484907,49167557,81613697,75309823.63636364
commuter_rail,MBTA,40569600,40363600,38569700,37975600,38309700,38961600,39721400,38258800,35866269,36429353,36134746,34571932,35560409,32244598,33857423,33748866,31605591,31883589,12867097,8901241,18984423,26434736.727272727
commuter_rail,MNCR,71549737,71079832,70756615,72783566,75043975,78231101,81466483,77975561,79210948,80364379,82807689,83290878,84463717,85761008,86297511,86362532,91873366,91433762,29391259,32254130,54517695,58743252
commuter_rail,Metra,69354239,69164745,67515557,69826451,72066626,75214313,77167066,71552171,70482178,72305980,74246585,73603167,74382144,72631171,72289606,70592215,68446239,61456663,16731031,14080750,23791702,32238394.90909091
commuter_rail,NJT,64640759,64538695,68967103,74130644,77510820,82718831,85733467,81950362,80850981,80206477,80823575,83509264,88062074,90371835,89741590,87107463,88379435,89980385,28956451,30059448,46719022,57966918.54545455
commuter_rail,SEPTA,28426507,27952717,30733520,33265441,34070073,33874811,36167848,34618900,35529079,35092879,36114950,37728836,37875864,37047837,33999192,32893584,33588140,35114104,10650950,11374112,18093021,19618088.727272727
suburban_bus,ACT,70059762,70257438,61474168,64433987,66804957,66970254,68597917,65658299,57167047,55443475,56316035,54645821,54315736,52499423,50648984,50062562,49936061,51038920,26362671,20972204,27791478,32482577.454545453
suburban_bus,BCT,34161520,36429171,38740791,38901035,40796062,41423042,41035243,36587132,36014349,36670149,38268983,37866248,38168893,36077832,31564219,28658052,27415506,26182836,14527049,16425484,20621461,22757786.181818184
suburban_bus,OCTA,64351684,65309518,68490366,66586028,68556783,65542175,68876357,57009348,50907739,52309110,52377264,49529738,47769794,45177802,40893905,39281182,38687529,36947852,22138603,22486391,29555424,33180507.272727273
suburban_bus,Pace,32240690,30645782,31429601,33758803,33634747,33534970,34653314,29231501,29292008,30636854,32191048,32685034,31685589,30118241,28399520,28804740,27673427,26191884,13594308,12376806,13528762,14870872.363636363
suburban_bus,RIDE ON,0,22950877,24201784,26437244,27663539,29196081,30308140,28332191,27078098,26914880,27082797,26673729,26328306,25284604,23425873,22479212,20952699,20717628,10422331,12299522,13828313,16657224
suburban_bus,VTA,43470760,36134450,32051709,31020211,31746310,32836489,34782215,33219344,31474044,32151617,32500791,32823772,32762211,33689777,30834156,28830798,28027608,27367475,12542934,12316163,17556100,21119648.727272727
urban_bus,CTA,303295021,291804422,294030774,304190238,298433227,309271311,328780587,318672798,306023976,310373062,314423578,300116357,276116757,274288766,259058440,249231171,242173010,237276400,121449922,117357515,140013945,161880598.9090909
urban_bus,LACMTA,368563750,329286353,367158672,385149922,407447525,396788744,395167184,370985894,358210183,359585821,355545523,354172269,343553394,325690569,296495194,277334740,268768990,270595093,158474052,176285709,193637448,218729644.36363637
urban_bus,MBTA,104603400,112349652,124016891,119657225,104883900,104401100,107355000,106692244,109231004,112901247,116408923,111360246,117268320,116854336,109171667,105827105,102299632,100888185,53646501,58652054,75271529,80704242.54545455
urban_bus,NYCT,977043676,911854373,881320885,953991837,926829259,862852689,868638444,842637588,828077827,800093787,760747446,770962014,762582617,743763757,743752458,691273010,691981427,691616614,403160315,393017794,458602305,571115754.5454545
urban_bus,SEPTA,155699252,161572706,187664870,182087598,176058995,165709554,164834855,157185901,162191467,162548267,176109738,183220710,173766172,177506260,171258688,163391313,158610720,152152387,73297731,75690072,96554641,103584157.0909091
urban_bus,WMATA,149881041,148606088,141076568,129078301,135342697,134009240,137635705,133365555,125827285,134819332,137555291,140289075,138231068,130913159,124411853,121756048,121113438,124276845,58904521,66138465,89880435,110236698.54545455
urban_rail,CTA,181009088,178025823,178716455,186759518,195169310,190272997,198137245,202569039,210849074,221587186,231154339,229116047,238100054,241676065,238645812,230204047,225894953,218467141,76049871,78623048,103524858,118560632.72727272
urban_rail,MARTA,77881799,68613169,70165559,69662769,74017325,81503410,86029961,79133102,76930756,74236211,70506376,69905386,71504650,72030571,68678695,67410371,64854001,61778142,24056265,22988471,28200719,31326425.454545453
urban_rail,MBTA,125435900,123939500,149467277,145350769,151169974,138877800,150408300,145608900,146123747,160512019,166512743,172478029,179299422,173533799,169059896,164535915,160782497,159102449,56416768,64040522,81361484,86463054.54545455
urban_rail,NYCT,2087124230,2031024236,2160083031,2178010454,2263449412,2390033883,2446007436,2356247971,2451642297,2510271823,2569825157,2662744358,2761760152,2666925814,2681080735,2700587415,2629607701,2723960145,1110554025,1311977996,1793073801,2022576938.1818182
urban_rail,SEPTA,85787915,86953887,87180859,86544524,87437845,88939526,90999511,92360371,96566787,98390526,99688482,101236722,99762965,102121021,97314969,93090327,93897356,91253676,38622817,41312395,55932638,53342010.54545455
urban_rail,WMATA,244548262,246760273,250791210,264607225,272800520,281295157,291492804,293397778,287135451,287615856,279129293,273406081,270514615,260004801,232546318,229855180,228050642,238248071,68610739,56026328,98367576,145509485.45454547
