mode,agency,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
commuter_rail,LIRR,1205084,2118676,2159756,2254488,1948010,2226141,2282436,2419232,2282051,2070009,2008655,2014742,2079945,2129688,2175341,2125167,2098218,2207645,2114409,2088960,2107155,2102652
commuter_rail,MBTA,695640,711545,713536,707931,708376,713937,743755,784218,810102,792758,769755,751473,763047,747651,802779,810495,830588,841021,713276,691517,814080,844310.1818181819
commuter_rail,MNCR,1372400,1365241,1401177,1481125,1562974,1643582,1709962,1607089,1592839,1584482,1680138,1955224,1986288,2032355,2036281,2099132,2182316,2129670,1556539,1741267,2049308,1959030.5454545454
commuter_rail,Metra,953783,944822,949006,968029,1056985,1108060,1151045,1108622,1422329,1412912,1402260,1423565,1424750,1424299,1429448,1437803,1452101,1507232,1022657,1106820,1304405,1456802.1818181819
commuter_rail,NJT,1474507,1652664,1785905,1830435,1893041,1929437,2025333,2024459,1894298,1844668,1802689,1877444,1911791,1883109,1845909,1909982,1840347,1799698,1576896,1772196,1809917,1808428.3636363638
commuter_rail,SEPTA,568911,585710,580376,598698,597280,606905,618412,640862,665783,665892,690487,789540,866401,893708,904872,986847,1003956,1026535,658656,604119,820707,885459.2727272727
suburban_bus,ACT,1931004,2232542,2003795,1794836,1814817,1822247,1864011,2005469,1795100,1643722,1645619,1672392,1661599,1667969,1747605,1923868,1939373,1938666,1618164,1565535,1580540,1659521.4545454546
suburban_bus,BCT,1112626,1152951,1136035,1150479,1207577,1271024,1251831,1012714,1020537,987264,1001029,1028413,1085644,1138291,1156608,1156014,1158845,1199695,1080029,1110854,1093293,1124946.5454545454
suburban_bus,OCTA,1719547,1775403,1818524,1839683,1872055,1883408,1939325,1796472,1566535,1541065,1534585,1558648,1577366,1586200,1600034,1578060,1586075,1607781,1231910,1266402,1440335,1453270.9090909092
suburban_bus,Pace,1231605,1230657,1219082,1211227,1210765,1217001,1230243,1246198,1447614,1425637,1429765,1447767,1492471,1533015,1582310,1720130,1729684,1719742,1587771,1558474,1550682,1588898.4
suburban_bus,RIDE ON,0,947032,1160828,945305,970200,1000141,992863,982497,969104,961114,959342,992383,999471,1022114,1007798,1030334,1062630,1065442,716172,812056,958960,1028959.2
suburban_bus,VTA,1445180,1352556,1259267,1266418,1284290,1300812,1301779,1302980,1180458,1188512,1219897,1248451,1282537,1336385,1375319,1366420,1389094,1374552,1065568,1158950,1253436,1318269.8181818181
urban_bus,CTA,6477446,6794981,6783088,6760602,6811240,6949371,6964826,6912121,6003270,5906547,5658426,5790071,5656737,5729637,5758937,5772259,5794197,5814122,5423534,5156899,4830866,4904509.090909091
urban_bus,LACMTA,7061390,6743469,7330206,7594078,7610559,7632277,7566717,7523879,7264175,6878380,6750536,6757259,6822834,6893196,6880214,6814874,6784036,6857643,5487251,5693039,6020207,6788708.7272727275
urban_bus,MBTA,2383936,2370562,2379941,2412048,2361359,2454297,2425567,2366406,2406020,2396747,2376045,2311534,2262239,2206446,2239490,2325935,2585535,2768412,2141297,2254917,2276444,2190506.1818181816
urban_bus,NYCT,0,13515339,13587542,13222174,13393053,13443518,13602690,13583264,13028541,12899865,12218706,12282347,12215357,12351378,12272959,12201259,12136604,12215926,11429343,11617289,11822039,11915846.181818182
urban_bus,SEPTA,3769943,3817773,3833725,3879179,3904032,3872838,3926133,3917928,4021789,3940871,3948088,3955718,3938743,3955766,3940540,4019874,4119861,4168299,3686498,3895724,3834187,3750918.5454545454
urban_bus,WMATA,3327631,3499125,3454106,3435641,3554136,3647064,3760843,3874941,3713977,3824552,3901470,3968517,4040070,3822705,3903925,3862410,3786371,3792356,2614033,3361046,3695424,3792790.909090909
urban_rail,CTA,2856249,3566121,3460042,3451102,3629869,3872898,3734738,3678709,3475734,3510163,3567465,3783110,3823868,3963892,4004874,4089367,4068066,4065132,3855798,4032851,3742178,3640744.3636363638
urban_rail,MARTA,887201,356589,232932,165802,853985,836941,907135,884171,781639,670996,679376,681094,767717,835401,840005,841031,840059,842326,663417,682885,672302,684703.6363636364
urban_rail,MBTA,889730,886465,911912,901480,889242,1412429,1455726,1559030,1329970,1424916,1453072,1434652,1397329,1456204,1532571,1552484,1570075,1450747,1411196,1467677,1321045,1385263.6363636365
urban_rail,NYCT,0,18020267,18682430,18383631,18539216,18528576,19032474,19320766,19224269,18859006,18843196,19018610,18937588,18935408,19040477,19176403,19108654,19430373,17829918,18327790,20848895,21595009.09090909
urban_rail,SEPTA,856908,823255,820247,810621,810697,808336,852228,861796,891405,874220,869851,874684,878299,907253,913266,918471,935789,961467,933514,990835,1074203,1107331.6363636365
urban_rail,WMATA,1343666,2326690,2456537,2571153,2551902,2689271,2760339,2874410,2669981,2763062,3012701,3074872,3251801,3271724,3134396,3391926,3599486,3911956,2859147,3000729,2347785,4104653.4545454546
