ntdid,agency,acronym,mode,ntd_mode,region,type_of_svc,month,year,vrh
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,1,2002,58391
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,2,2002,51527
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,3,2002,56903
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,4,2002,57420
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,5,2002,58220
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,6,2002,54615
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,7,2002,61243
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,8,2002,61243
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,9,2002,56934
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,10,2002,62596
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,11,2002,57210
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,12,2002,59338
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,1,2003,60967
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,2,2003,54031
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,3,2003,59614
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,4,2003,60192
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,5,2003,60967
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,6,2003,57210
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,7,2003,61243
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,8,2003,59614
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,9,2003,58563
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,10,2003,62596
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,11,2003,55581
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,12,2003,60967
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,1,2004,59614
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,2,2004,54806
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,3,2004,62596
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,4,2004,60192
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,5,2004,57985
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,6,2004,60192
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,7,2004,59448
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,8,2004,60691
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,9,2004,58315
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,10,2004,59321
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,11,2004,58315
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,12,2004,62061
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,1,2005,59194
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,2,2005,53690
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,3,2005,62188
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,4,2005,58442
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,5,2005,59194
