ntdid,agency,acronym,mode,ntd_mode,region,month,year,vrh
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",1,2002,151679
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",2,2002,148689
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",3,2002,158453
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",4,2002,164830
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",5,2002,167820
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",6,2002,158210
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",7,2002,167820
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",8,2002,167974
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",9,2002,155066
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",10,2002,171207
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",11,2002,154823
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",12,2002,164433
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",1,2003,192938
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",2,2003,171176
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",3,2003,184954
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",4,2003,185684
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",5,2003,189005
90014,Alameda-Contra Costa Transit District,ACT,suburban_bus,MB,"San Francisco--Oakland, CA",6,2003,181633
