mode,agency,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
commuter_rail,LIRR,28989700,57258076,58269799,59176459,61273582,63038511,64794193,65360026,64090537,62924505,61840606,65179687,67224820,67522769,66763465,67046480,66508822,67942021,61766650,58398960,62918402,76325244
commuter_rail,MBTA,22747143,22776778,22523221,22078329,22259119,22615380,23167917,23727362,24147703,23584075,22252135,22948657,23109509,22252749,24291554,24554290,25029584,25308495,21017427,20367685,23707249,24069854.181818184
commuter_rail,MNCR,50815820,49233759,49720551,51826773,55566399,56463246,58823421,58737736,57808979,58047716,61249757,65213150,68058540,69733353,69580238,68583596,67798388,67938044,48719168,51909106,62976627,62188646.18181818
commuter_rail,Metra,29641280,29395383,29567422,29989018,32435098,34090070,34952859,33792610,43081489,42802599,43152489,43155545,43186610,43419651,43521315,43688918,43674979,44605656,30661751,32838276,38740615,43191986.18181818
commuter_rail,NJT,47863268,49205770,58157647,65456241,67063944,68271931,70336606,68650216,63545930,62038376,61357702,62871244,63136066,62198173,60918852,62443341,60035112,58876253,52207958,58299491,59234633,58436428.36363636
commuter_rail,SEPTA,15645080,15672806,15670953,16135126,15989284,16325753,16635257,17239210,17920641,17912117,18574150,19056947,19112590,19335390,19138747,20090315,20121896,20616214,12969709,11893170,16159936,17433907.636363637
suburban_bus,ACT,22427982,27458967,23143161,21043920,21165516,21562605,21649895,24644190,20637203,18770760,18702542,18866933,18406930,17924819,18327595,19148801,19356259,19528386,16330647,16252886,16442544,17112409.09090909
suburban_bus,BCT,15074831,15178779,15420139,15624182,16528923,17298387,17079655,13896877,13977571,13485570,13886145,14355549,14722583,15117418,15273515,15111980,15002817,15247162,14053315,14270888,13856390,14248449.818181818
suburban_bus,OCTA,22032762,22897250,23297577,23413605,23522364,23410658,24051005,22352012,19219718,19050575,18810345,18796175,18940889,19024897,19139982,18874412,18713077,18742503,14546191,14887960,16488145,16561826.181818182
suburban_bus,Pace,20743303,20662498,20510391,20398372,20288321,20386758,20381533,20460175,20064987,19952830,20200201,20505389,21107723,21662389,22310280,24193306,24215872,24385456,22179488,21716557,21994363,21500994.545454547
suburban_bus,RIDE ON,0,12776036,20147837,12370739,12645032,12891898,12828959,12374232,12158640,12204092,12215520,12565357,12721068,12940283,12716048,12946747,13498338,13612199,9563484,11523891,12253456,12947509.09090909
suburban_bus,VTA,18797100,16958316,15813604,16063195,16150194,16373892,15972414,15993451,14619403,14500960,14689513,14932029,15179391,15561301,15858947,15917897,16148966,15769563,12421260,13345082,14773770,15296359.636363637
urban_bus,CTA,64465074,66233757,66551247,65379108,66811606,68321468,68007410,66640406,57180798,55417764,52427711,53446534,52059196,52277748,52304804,52290416,52314606,52816557,49278477,46999961,44199272,44815902.54545455
urban_bus,LACMTA,86210852,83354176,90888603,92747375,92929539,91114878,89545655,88391454,84804829,77773804,75115176,73669232,73177391,73709365,73347622,71757679,70964507,71221677,58027563,59797491,62153398,69468879.27272727
urban_bus,MBTA,26283115,26142716,25837251,26180103,25647876,26244489,25905869,24785533,24981628,24227450,23741103,23123119,22461196,22480664,22689897,21807656,21784383,22257842,19520546,21634496,21457038,20344783.636363637
urban_bus,NYCT,119028787,102338828,104123865,101958450,102217167,101938230,103187650,103192554,97806476,95119851,85240267,88055853,87023615,87657339,86863364,85993623,85824679,86233591,80118986,80849156,82638609,83393400
urban_bus,SEPTA,39378447,39861669,39721213,39821239,40057491,39998491,40417079,40445980,41264747,40040434,40192469,40308553,39865774,39846768,39402580,39906793,40971718,41647636,36854730,38891602,38850155,38821443.27272727
urban_bus,WMATA,38245297,38493476,38398193,37116906,36066012,39677427,40379500,40098817,39351412,39671918,40145248,40347673,39744248,38704606,39837888,38316982,37086936,37814806,26092893,33811718,37334144,37982709.81818182
urban_rail,CTA,56986546,64689214,64080296,64410406,67666552,69008214,66128063,67576118,64960049,64446021,65077048,68802302,70558697,71297563,71811535,73612276,73461555,73574040,69510641,72369642,66984263,62309056.36363636
urban_rail,MARTA,23335207,22422322,22387469,21166297,22485671,22234488,24130814,23605134,20698019,17584548,17793075,17884415,20373740,22190347,22289125,22373142,22339565,22444074,17392974,18251994,17869307,18016059.272727273
urban_rail,MBTA,19574090,19502272,20062067,19832597,19563310,20607324,21239009,22746253,23395923,23668086,23905269,23027726,23087022,22431398,23361927,23760473,23311599,22870769,22476095,21828314,19389763,16679520
urban_rail,NYCT,333540680,334505342,340644437,335689529,339374918,338410914,347416429,352524575,350229549,342637902,341624657,344975317,345106130,345386041,347091534,349479185,348452183,354616371,324782077,331253516,338199451,344330612.72727275
urban_rail,SEPTA,15855789,16630746,16060324,15852700,15794006,15708774,16588941,16795807,17373502,16976069,16924935,17008106,17074266,17206073,16924865,16914188,17112216,17014997,15833090,15938776,15379263,14806114.90909091
urban_rail,WMATA,43821876,52257428,54415946,56687196,56368673,69065989,73101256,73467168,66507262,68083631,73950173,75408701,80468379,81179643,76833917,80559796,83250372,91153648,66508247,69234007,54123379,93516019.63636364
