ntdid,agency,acronym,mode,ntd_mode,region,type_of_svc,month,year,vrm
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,1,2002,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,2,2002,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,3,2002,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,4,2002,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,5,2002,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,6,2002,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,7,2002,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,8,2002,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,9,2002,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,10,2002,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,11,2002,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,12,2002,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,1,2003,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,2,2003,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,3,2003,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,4,2003,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,5,2003,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,6,2003,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,7,2003,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,8,2003,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,9,2003,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,10,2003,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,11,2003,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,12,2003,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,1,2004,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,2,2004,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,3,2004,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,4,2004,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,5,2004,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,6,2004,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,7,2004,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,8,2004,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,9,2004,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,10,2004,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,11,2004,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,12,2004,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,1,2005,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,2,2005,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,3,2005,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,4,2005,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,5,2005,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,6,2005,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,7,2005,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,8,2005,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,9,2005,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,10,2005,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,11,2005,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,12,2005,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,1,2006,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,2,2006,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,3,2006,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,4,2006,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,5,2006,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,6,2006,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,7,2006,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,8,2006,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,9,2006,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,10,2006,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,11,2006,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,12,2006,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,1,2007,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,2,2007,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,3,2007,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,4,2007,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,5,2007,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,6,2007,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,7,2007,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,8,2007,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,9,2007,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,10,2007,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,11,2007,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,12,2007,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,1,2008,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,2,2008,0
